,iter,method,train_test,r2,depth
0,0,Neumann_res,train,0.6869855147360493,0.0
1,0,Neumann_res,test,0.6864088500684561,0.0
2,0,Neumann,train,0.6884194997348132,0.0
3,0,Neumann,test,0.6882688893724247,0.0
4,0,Neumann_res,train,0.7376666270714625,1.0
5,0,Neumann_res,test,0.7341737978544571,1.0
6,0,Neumann,train,0.7387380247952016,1.0
7,0,Neumann,test,0.7347164706152391,1.0
8,0,Neumann_res,train,0.7572757205936617,2.0
9,0,Neumann_res,test,0.7519717918995515,2.0
10,0,Neumann,train,0.7606239933433012,2.0
11,0,Neumann,test,0.7555091218037018,2.0
12,0,Neumann_res,train,0.7674829844138491,3.0
13,0,Neumann_res,test,0.762410608196026,3.0
14,0,Neumann,train,0.7716819396506291,3.0
15,0,Neumann,test,0.7657081093294722,3.0
16,0,Neumann_res,train,0.7778033944029243,4.0
17,0,Neumann_res,test,0.7704063974293954,4.0
18,0,Neumann,train,0.7794989360979567,4.0
19,0,Neumann,test,0.7709837738282463,4.0
20,0,Neumann_res,train,0.7812516637382347,5.0
21,0,Neumann_res,test,0.7710837276598332,5.0
22,0,Neumann,train,0.7830891906264753,5.0
23,0,Neumann,test,0.7730970043354766,5.0
24,0,Neumann_res,train,0.7830781337572966,6.0
25,0,Neumann_res,test,0.7721625053151366,6.0
26,0,Neumann,train,0.7865323010355317,6.0
27,0,Neumann,test,0.7749462436926251,6.0
28,0,Neumann_res,train,0.7852332931959951,7.0
29,0,Neumann_res,test,0.7700897087043236,7.0
30,0,Neumann,train,0.7880028569596489,7.0
31,0,Neumann,test,0.7743436359975362,7.0
32,0,Neumann_res,train,0.7886972719112398,8.0
33,0,Neumann_res,test,0.7747605086970824,8.0
34,0,Neumann,train,0.7899309971136899,8.0
35,0,Neumann,test,0.7728665890798584,8.0
36,0,Neumann_res,train,0.7905773963902374,9.0
37,0,Neumann_res,test,0.7726306684233515,9.0
38,0,Neumann,train,0.7908523789288098,9.0
39,0,Neumann,test,0.7720245996981423,9.0
40,0,Neumann_analytic,,0.5539845123526681,0.0
41,0,Neumann_analytic,,0.6093813353710978,1.0
42,0,Neumann_analytic,,0.6396258026903736,2.0
43,0,Neumann_analytic,,0.6595417328035295,3.0
44,0,Neumann_analytic,,0.6740272256856669,4.0
45,0,Neumann_analytic,,0.6852296977457231,5.0
46,0,Neumann_analytic,,0.7184754078039002,10.0
47,0,Neumann_analytic,,0.7360382956889496,15.0
48,0,Neumann_analytic,,0.747358368963809,20.0
49,0,Neumann_analytic,,0.7614380102405863,30.0
50,0,Neumann_analytic,,0.7699464482769715,40.0
51,0,Neumann_analytic,,0.7756357736988104,50.0
52,0,Neumann_analytic,,0.7882902687265539,100.0
53,0,Bayes_rate,train,0.7882902687265539,
54,0,Bayes_rate,test,0.7882902687265539,
55,1,Neumann_res,train,0.7925020273625355,0.0
56,1,Neumann_res,test,0.7911409460143942,0.0
57,1,Neumann,train,0.7931239796337599,0.0
58,1,Neumann,test,0.7913007304052011,0.0
59,1,Neumann_res,train,0.8236300673503343,1.0
60,1,Neumann_res,test,0.8199754192282739,1.0
61,1,Neumann,train,0.8219531646586495,1.0
62,1,Neumann,test,0.8172775947374341,1.0
63,1,Neumann_res,train,0.8337672733348618,2.0
64,1,Neumann_res,test,0.8292858803821772,2.0
65,1,Neumann,train,0.8303158704673654,2.0
66,1,Neumann,test,0.8257744584991269,2.0
67,1,Neumann_res,train,0.8417405728246787,3.0
68,1,Neumann_res,test,0.8352458682926186,3.0
69,1,Neumann,train,0.8427940818450268,3.0
70,1,Neumann,test,0.836156028499879,3.0
71,1,Neumann_res,train,0.8455580806401338,4.0
72,1,Neumann_res,test,0.8394642071378339,4.0
73,1,Neumann,train,0.8463159021634945,4.0
74,1,Neumann,test,0.8393652888695466,4.0
75,1,Neumann_res,train,0.848495113364456,5.0
76,1,Neumann_res,test,0.840667161955563,5.0
77,1,Neumann,train,0.8489001331461585,5.0
78,1,Neumann,test,0.8409856319759894,5.0
